iter	RMSE
0	658361.4104
1	618245.7193
2	576124.6736
3	536308.0622
4	496598.7206
5	466049.6106
6	434176.2638
7	404134.4031
8	386190.9093
9	360100.5107
10	337103.2424
11	318835.2632
12	301147.7948
13	286486.521
14	276001.5465
15	263027.135
16	251387.2974
17	240522.0322
18	229642.9122
19	220826.0002
20	213796.8
21	206451.2858
22	201351.5429
23	195790.9462
24	190583.5932
25	185561.7941
26	181474.7991
27	177589.0059
28	173360.2709
29	169019.0296
30	165792.2853
31	161533.9383
32	158363.9732
33	156099.0612
34	153207.3182
35	149936.4507
36	146836.3815
37	143712.1245
38	142377.5114
39	139987.9403
40	138230.6642
41	135927.7976
42	133676.6751
43	132225.8157
44	131002.9322
45	129983.3093
46	128935.7695
47	127013.9733
48	126496.3743
49	125376.1709
50	123719.1648
51	122799.5793
52	121919.2069
53	121767.2054
54	120228.5292
55	119380.7932
56	118560.9062
57	117826.382
58	115255.9521
59	113483.5571
60	112801.7051
61	112151.6171
62	111465.025
63	110406.4161
64	109534.9461
65	109421.6003
66	108850.7132
67	108296.1301
68	107650.796
69	106437.619
70	106343.3608
71	104565.7974
72	104072.7443
73	103601.5402
74	103149.483
75	101808.9344
76	101726.6857
77	99557.9349
78	99163.89024
79	99097.712
80	97583.41115
81	96617.94424
82	96245.60686
83	95109.74392
84	93999.65321
85	93636.28092
86	93291.31117
87	91927.33099
88	90736.71534
89	90388.44247
90	90086.93153
91	88741.45282
92	87725.45405
93	86499.68167
94	85563.78543
95	84658.97872
96	83759.01201
97	83481.1977
98	83216.662
99	82399.02405
