iter	Passed	Remaining
0	0	52
1	1	55
2	1	56
3	2	56
4	2	55
5	3	55
6	4	56
7	4	55
8	5	55
9	6	54
10	6	54
11	7	54
12	7	53
13	8	51
14	8	50
15	9	49
16	10	49
17	10	49
18	11	49
19	12	48
20	12	47
21	13	47
22	14	47
23	14	46
24	15	45
25	15	45
26	16	44
27	17	44
28	17	43
29	18	42
30	19	42
31	19	41
32	20	41
33	20	40
34	21	40
35	22	39
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	26	36
42	26	35
43	27	34
44	28	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	32	28
54	33	27
55	33	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	40	20
66	41	20
67	41	19
68	42	19
69	43	18
70	44	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	48	14
77	49	14
78	50	13
79	50	12
80	51	12
81	51	11
82	52	10
83	53	10
84	53	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	63	1
98	63	0
99	64	0
